MeasurementTime,VehicleType,VehicleFlowRate,AverageVehicleSpeed,CountyNo,Geometry,RegionId
2025-08-03T10:47:00.000+02:00,anyVehicle,1320,64.05,1,"{'SWEREF99TM': 'POINT (677754.96 6578623.19)', 'WGS84': 'POINT (18.122711 59.308964)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,840,68.99,1,"{'SWEREF99TM': 'POINT (674788.02 6583302.84)', 'WGS84': 'POINT (18.074469 59.352165)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1320,83.86,1,"{'SWEREF99TM': 'POINT (651018.96 6563771.14)', 'WGS84': 'POINT (17.64332 59.186134)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1080,83.74,1,"{'SWEREF99TM': 'POINT (652805.94 6565755.17)', 'WGS84': 'POINT (17.675951 59.203293)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,780,85.38,1,"{'SWEREF99TM': 'POINT (656154.96 6566753.11)', 'WGS84': 'POINT (17.735239 59.211025)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,240,66.5,1,"{'SWEREF99TM': 'POINT (673561 6576993.92)', 'WGS84': 'POINT (18.047848 59.296097)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,540,80.22,1,"{'SWEREF99TM': 'POINT (673560.02 6577001.1)', 'WGS84': 'POINT (18.047836 59.29616)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,840,67.71,1,"{'SWEREF99TM': 'POINT (674026.99 6576474.18)', 'WGS84': 'POINT (18.0556 59.291245)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1200,62.35,1,"{'SWEREF99TM': 'POINT (673338.96 6577008.01)', 'WGS84': 'POINT (18.043966 59.296314)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1260,72.24,1,"{'SWEREF99TM': 'POINT (672453 6577193.9)', 'WGS84': 'POINT (18.028582 59.298344)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1200,66.42,1,"{'SWEREF99TM': 'POINT (663431 6571954.09)', 'WGS84': 'POINT (17.86642 59.254932)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,660,72.82,1,"{'SWEREF99TM': 'POINT (671649.04 6584744.93)', 'WGS84': 'POINT (18.020494 59.366386)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,600,71.1,1,"{'SWEREF99TM': 'POINT (671449.99 6585550.08)', 'WGS84': 'POINT (18.01764 59.373688)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,720,82.68,1,"{'SWEREF99TM': 'POINT (658869.03 6568074.13)', 'WGS84': 'POINT (17.78368 59.221867)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,540,80.84,1,"{'SWEREF99TM': 'POINT (665910.98 6590851.13)', 'WGS84': 'POINT (17.924395 59.423447)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,300,73.94,1,"{'SWEREF99TM': 'POINT (676914.05 6577718.97)', 'WGS84': 'POINT (18.107224 59.30121)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,660,75.17,1,"{'SWEREF99TM': 'POINT (653491.99 6566150.19)', 'WGS84': 'POINT (17.688229 59.20659)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,660,103.58,1,"{'SWEREF99TM': 'POINT (668797.04 6588574.13)', 'WGS84': 'POINT (17.973394 59.40188)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1020,91.44,1,"{'SWEREF99TM': 'POINT (663589 6571926.87)', 'WGS84': 'POINT (17.869167 59.254627)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,180,93.24,1,"{'SWEREF99TM': 'POINT (671458.99 6585555.17)', 'WGS84': 'POINT (18.017801 59.37373)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,840,76.83,1,"{'SWEREF99TM': 'POINT (671286.03 6585810.21)', 'WGS84': 'POINT (18.014965 59.376087)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,360,120.79,1,"{'SWEREF99TM': 'POINT (664993.99 6594772.16)', 'WGS84': 'POINT (17.911278 59.458973)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1560,101.26,1,"{'SWEREF99TM': 'POINT (665571.05 6599564.85)', 'WGS84': 'POINT (17.925161 59.501728)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1020,60.76,1,"{'SWEREF99TM': 'POINT (674240 6577024.21)', 'WGS84': 'POINT (18.059776 59.29609)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1320,71.54,1,"{'SWEREF99TM': 'POINT (670594.05 6586915.1)', 'WGS84': 'POINT (18.003681 59.386276)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,840,67.71,1,"{'SWEREF99TM': 'POINT (671703.94 6584700.21)', 'WGS84': 'POINT (18.021423 59.365963)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,480,89.64,1,"{'SWEREF99TM': 'POINT (668135.01 6588354.02)', 'WGS84': 'POINT (17.961578 59.40017)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,420,89.43,1,"{'SWEREF99TM': 'POINT (658849.95 6567901.95)', 'WGS84': 'POINT (17.78322 59.22033)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,780,49.68,1,"{'SWEREF99TM': 'POINT (675665 6576782.83)', 'WGS84': 'POINT (18.084562 59.293335)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,600,101.37,1,"{'SWEREF99TM': 'POINT (671023.03 6596860.03)', 'WGS84': 'POINT (18.019161 59.475285)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,300,90.0,1,"{'SWEREF99TM': 'POINT (657639.01 6566969.96)', 'WGS84': 'POINT (17.761356 59.21242)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,240,78.57,1,"{'SWEREF99TM': 'POINT (676243.98 6577301.9)', 'WGS84': 'POINT (18.095135 59.29775)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,540,82.24,1,"{'SWEREF99TM': 'POINT (666052.04 6590591.06)', 'WGS84': 'POINT (17.926676 59.42106)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,420,73.18,1,"{'SWEREF99TM': 'POINT (668475.01 6588737.97)', 'WGS84': 'POINT (17.96786 59.403477)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,420,77.09,1,"{'SWEREF99TM': 'POINT (675747 6577109.94)', 'WGS84': 'POINT (18.086266 59.296234)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1500,66.27,1,"{'SWEREF99TM': 'POINT (675893.03 6576154.87)', 'WGS84': 'POINT (18.088049 59.28761)'}",4
