Region,AgeVariable,Year,AvgDisposibleIncome
Upplands Väsby,all 20-64 years of age,1997,4.0
Upplands Väsby,all 20-64 years of age,1998,4.1
Upplands Väsby,all 20-64 years of age,1999,4.4
Upplands Väsby,all 20-64 years of age,2000,5.3
Upplands Väsby,all 20-64 years of age,2001,5.0
Upplands Väsby,all 20-64 years of age,2002,4.9
Upplands Väsby,all 20-64 years of age,2003,4.8
Upplands Väsby,all 20-64 years of age,2004,4.8
Upplands Väsby,all 20-64 years of age,2005,5.0
Upplands Väsby,all 20-64 years of age,2006,5.1
Upplands Väsby,all 20-64 years of age,2007,5.5
Upplands Väsby,all 20-64 years of age,2008,5.6
Upplands Väsby,all 20-64 years of age,2009,5.5
Upplands Väsby,all 20-64 years of age,2010,5.6
Upplands Väsby,all 20-64 years of age,2011,5.8
Upplands Väsby,all 20-64 years of age,2012,5.8
Upplands Väsby,all 20-64 years of age,2013,5.8
Upplands Väsby,all 20-64 years of age,2014,6.0
Upplands Väsby,all 20-64 years of age,2015,6.2
Upplands Väsby,all 20-64 years of age,2016,6.3
Upplands Väsby,all 20-64 years of age,2017,6.5
Upplands Väsby,all 20-64 years of age,2018,6.7
Upplands Väsby,all 20-64 years of age,2019,6.4
Upplands Väsby,all 20-64 years of age,2020,6.5
Upplands Väsby,all 20-64 years of age,2021,6.8
Upplands Väsby,all 20-64 years of age,2022,6.9
Upplands Väsby,all 20-64 years of age,2023,5.9
Upplands Väsby,20-24 years,1997,2.3
Upplands Väsby,20-24 years,1998,2.4
Upplands Väsby,20-24 years,1999,2.6
Upplands Väsby,20-24 years,2000,2.8
Upplands Väsby,20-24 years,2001,2.9
Upplands Väsby,20-24 years,2002,2.9
Upplands Väsby,20-24 years,2003,2.7
Upplands Väsby,20-24 years,2004,2.6
Upplands Väsby,20-24 years,2005,2.6
Upplands Väsby,20-24 years,2006,2.7
Upplands Väsby,20-24 years,2007,3.1
Upplands Väsby,20-24 years,2008,3.1
Upplands Väsby,20-24 years,2009,2.9
